Brand,Model,Range (km),Efficiency (Wh/km),Battery (kWh)
Tesla,Model 3,420 km,137 Wh/km,"57,5 kWh"
Kia,EV3 Long Range,455 km,171 Wh/km,"78,0 kWh"
BYD,ATTO 3,330 km,183 Wh/km,"60,5 kWh"
Tesla,Model Y,350 km,164 Wh/km,"57,5 kWh"
Tesla,Model 3 Long Range RWD,545 km,138 Wh/km,"75,0 kWh"
Tesla,Model Y Long Range Dual Motor,445 km,169 Wh/km,"75,0 kWh"
Tesla,Model Y RWD,350 km,164 Wh/km,"57,5 kWh"
Tesla,Model 3 Long Range Dual Motor,525 km,143 Wh/km,"75,0 kWh"
Mercedes-Benz,CLA 250+,565 km,150 Wh/km,"85,0 kWh"
MG,MG4 Electric 64 kWh,360 km,171 Wh/km,"61,7 kWh"
Tesla,Model 3,405 km,142 Wh/km,"57,5 kWh"
BYD,HAN,475 km,180 Wh/km,"85,4 kWh"
BMW,i3 120 Ah,235 km,161 Wh/km,"37,9 kWh"
Tesla,Model 3 Long Range Dual Motor,455 km,162 Wh/km,"73,5 kWh"
BMW,iX xDrive40,360 km,197 Wh/km,"71,0 kWh"
Skoda,Elroq 85,450 km,171 Wh/km,"77,0 kWh"
BYD,DOLPHIN 60.4 kWh,350 km,173 Wh/km,"60,5 kWh"
Renault,5 E-Tech 52kWh 150hp,320 km,163 Wh/km,"52,0 kWh"
Audi,e-tron 55 quattro,365 km,237 Wh/km,"86,5 kWh"
Tesla,Model Y Long Range RWD,460 km,163 Wh/km,"75,0 kWh"
Mercedes-Benz,EQS 450+,690 km,171 Wh/km,"118,0 kWh"
BYD,SEAL 82.5 kWh AWD Excellence,445 km,185 Wh/km,"82,5 kWh"
BMW,i4 eDrive40,515 km,157 Wh/km,"80,7 kWh"
Volkswagen,ID.4 Pro,445 km,173 Wh/km,"77,0 kWh"
Tesla,Model S Plaid,560 km,170 Wh/km,"95,0 kWh"
Hyundai,Kona Electric 65 kWh,390 km,168 Wh/km,"65,4 kWh"
Volkswagen,e-Golf,190 km,168 Wh/km,"32,0 kWh"
Tesla,Model Y Performance,430 km,174 Wh/km,"75,0 kWh"
Kia,Niro EV,385 km,168 Wh/km,"64,8 kWh"
KGM,Torres EVX,370 km,195 Wh/km,"72,0 kWh"
Hyundai,IONIQ 5 84 kWh RWD,450 km,178 Wh/km,"80,0 kWh"
Mazda,6e,390 km,169 Wh/km,"66,0 kWh"
Fiat,500e Hatchback 42 kWh,235 km,159 Wh/km,"37,3 kWh"
BMW,iX1 xDrive30,380 km,170 Wh/km,"64,7 kWh"
BYD,SEALION 7 91.3 kWh AWD Excellence,435 km,210 Wh/km,"91,3 kWh"
Tesla,Model 3 Standard Range Plus,320 km,153 Wh/km,"49,0 kWh"
Kia,EV3 Standard Range,325 km,169 Wh/km,"55,0 kWh"
Toyota,bZ4X FWD,350 km,183 Wh/km,"64,0 kWh"
Mercedes-Benz,CLA 350 4MATIC,550 km,155 Wh/km,"85,0 kWh"
Renault,Scenic E-Tech EV87 220hp,480 km,181 Wh/km,"87,0 kWh"
Volvo,EX30 Single Motor ER,360 km,178 Wh/km,"64,0 kWh"
CUPRA,Born 150 kW - 58 kWh,350 km,166 Wh/km,"58,0 kWh"
Hyundai,INSTER Long Range,295 km,156 Wh/km,"46,0 kWh"
Mercedes-Benz,EQC 400 4MATIC,370 km,216 Wh/km,"80,0 kWh"
Nissan,Leaf,235 km,166 Wh/km,"39,0 kWh"
Tesla,Model 3 Standard Range Plus,350 km,146 Wh/km,"51,0 kWh"
Tesla,Model Y Long Range AWD,450 km,167 Wh/km,"75,0 kWh"
Mercedes-Benz,EQB 250+,415 km,170 Wh/km,"70,5 kWh"
BYD,ATTO 2,245 km,184 Wh/km,"45,1 kWh"
Renault,Megane E-Tech EV60 220hp,380 km,158 Wh/km,"60,0 kWh"
Mini,Countryman E,380 km,170 Wh/km,"64,6 kWh"
BMW,iX3,385 km,192 Wh/km,"74,0 kWh"
Kia,EV4 Hatchback Long Range,475 km,164 Wh/km,"78,0 kWh"
Kia,EV6 Long Range 2WD,410 km,180 Wh/km,"74,0 kWh"
Hyundai,IONIQ 6 Long Range 2WD,495 km,149 Wh/km,"74,0 kWh"
Tesla,Model 3 Performance,490 km,153 Wh/km,"75,0 kWh"
Kia,EV4 Sedan Long Range,495 km,158 Wh/km,"78,0 kWh"
Citroen,e-C3,260 km,169 Wh/km,"44,0 kWh"
Hyundai,Kona Electric 64 kWh,390 km,164 Wh/km,"64,0 kWh"
Tesla,Model S Dual Motor,575 km,165 Wh/km,"95,0 kWh"
Zeekr,7X Long Range RWD,510 km,184 Wh/km,"94,0 kWh"
Hyundai,IONIQ Electric,250 km,153 Wh/km,"38,3 kWh"
Renault,Zoe ZE50 R110,315 km,165 Wh/km,"52,0 kWh"
Volkswagen,ID.7 Pro,475 km,162 Wh/km,"77,0 kWh"
MG,ZS EV Long Range,370 km,185 Wh/km,"68,3 kWh"
Mini,Cooper SE,180 km,161 Wh/km,"28,9 kWh"
BMW,iX1 eDrive20,390 km,166 Wh/km,"64,7 kWh"
Audi,e-tron 50 quattro,280 km,231 Wh/km,"64,7 kWh"
Skoda,Enyaq 85,460 km,167 Wh/km,"77,0 kWh"
Volkswagen,ID.7 Pro S,525 km,164 Wh/km,"86,0 kWh"
Mercedes-Benz,EQA 250,395 km,168 Wh/km,"66,5 kWh"
Tesla,Model 3 Long Range Dual Motor,485 km,155 Wh/km,"75,0 kWh"
Leapmotor,T03,230 km,157 Wh/km,"36,0 kWh"
Audi,A6 Sportback e-tron performance,600 km,158 Wh/km,"94,9 kWh"
